pair_id,target_hparam,source_hparam,mode,mode_raw,run_phase,timestamp,hit@5,hit@10,hit@20,ndcg@5,ndcg@10,ndcg@20,mrr@5,mrr@10,mrr@20
lastfm_to_kuairec,H3,H3,encoder_only,feature_init,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H3_H3_S1,2026-04-13T13:48:10.990758,0.171,0.1773,0.1847,0.1685,0.1705,0.1723,0.1676,0.1684,0.1689
lastfm_to_kuairec,H3,H7,encoder_only,feature_init,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H7_H3_S1,2026-04-13T14:57:22.168257,0.171,0.1768,0.183,0.1682,0.17,0.1716,0.1673,0.168,0.1684
lastfm_to_kuairec,H3,H3,encoder_plus_group_router,encoder_all_init,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H3_H3_S1,2026-04-13T14:03:04.032473,0.1697,0.1735,0.1825,0.1674,0.1686,0.1708,0.1666,0.1671,0.1677
lastfm_to_kuairec,H3,H7,encoder_plus_group_router,encoder_all_init,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H7_H3_S1,2026-04-13T15:12:53.561317,0.1697,0.1727,0.1822,0.1671,0.1681,0.1705,0.1663,0.1667,0.1674
lastfm_to_kuairec,H3,H3,group_router,group_init,P15A_TGT_lastfm_to_kuairec_A12_group_init_H3_H3_S1,2026-04-13T13:54:35.090567,0.1699,0.1757,0.18,0.1679,0.1698,0.1709,0.1672,0.168,0.1683
lastfm_to_kuairec,H3,H7,group_router,group_init,P15A_TGT_lastfm_to_kuairec_A12_group_init_H7_H3_S1,2026-04-13T15:03:55.339652,0.1699,0.1757,0.18,0.1679,0.1698,0.1708,0.1672,0.168,0.1683
lastfm_to_kuairec,H3,native,native,native,P15A_TGT_lastfm_to_kuairec_A12_native_native_H3_S1,2026-04-13T13:33:59.691599,0.171,0.1768,0.183,0.1682,0.17,0.1716,0.1673,0.168,0.1684
lastfm_to_kuairec,H7,H3,encoder_only,feature_init,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H3_H7_S1,2026-04-13T14:10:45.228969,0.1716,0.1765,0.1836,0.1685,0.1701,0.1719,0.1674,0.1681,0.1686
lastfm_to_kuairec,H7,H7,encoder_only,feature_init,P15A_TGT_lastfm_to_kuairec_A12_feature_init_H7_H7_S1,2026-04-13T14:33:30.008197,0.1716,0.1765,0.1836,0.1685,0.1701,0.1719,0.1674,0.1681,0.1686
lastfm_to_kuairec,H7,H3,encoder_plus_group_router,encoder_all_init,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H3_H7_S1,2026-04-13T14:25:56.752972,0.1708,0.1738,0.1811,0.1687,0.1696,0.1715,0.168,0.1683,0.1689
lastfm_to_kuairec,H7,H7,encoder_plus_group_router,encoder_all_init,P15A_TGT_lastfm_to_kuairec_A12_encoder_all_init_H7_H7_S1,2026-04-13T14:48:38.947025,0.1702,0.1735,0.1817,0.1685,0.1696,0.1717,0.1679,0.1684,0.1689
lastfm_to_kuairec,H7,H3,group_router,group_init,P15A_TGT_lastfm_to_kuairec_A12_group_init_H3_H7_S1,2026-04-13T14:17:53.781837,0.1708,0.1743,0.1806,0.1683,0.1695,0.171,0.1675,0.168,0.1684
lastfm_to_kuairec,H7,H7,group_router,group_init,P15A_TGT_lastfm_to_kuairec_A12_group_init_H7_H7_S1,2026-04-13T14:41:52.247645,0.1697,0.1738,0.18,0.1678,0.1691,0.1707,0.1672,0.1677,0.1681
lastfm_to_kuairec,H7,native,native,native,P15A_TGT_lastfm_to_kuairec_A12_native_native_H7_S1,2026-04-13T13:39:46.867171,0.1716,0.1765,0.1836,0.1685,0.1701,0.1719,0.1674,0.1681,0.1686
