dataset,split,subset_rows,subset_sessions,tier,group,full_rows,full_sessions,row_pct_of_split,session_pct_of_split
retail_rocket,test,7934,1367,pure,tempo_minus,99387,22964,0.07982935393965006,0.05952795680195088
KuaiRecLargeStrictPosV2_0.2,valid,955,94,pure,exposure_plus,33853,3669,0.028210202936224265,0.025620059961842464
KuaiRecLargeStrictPosV2_0.2,test,529,80,pure,exposure_plus,14614,3669,0.036198166142055566,0.021804306350504225
lastfm0.03,valid,2389,141,pure,exposure_plus,55816,3763,0.04280134728393292,0.037470103640712196
lastfm0.03,test,1826,128,pure,exposure_plus,49241,3764,0.03708291870595642,0.03400637619553666
beauty,valid,161,26,pure,exposure_plus,4252,636,0.03786453433678269,0.040880503144654086
beauty,test,226,34,pure,exposure_plus,3468,637,0.0651672433679354,0.05337519623233909
foursquare,valid,1496,201,pure,exposure_plus,15638,3805,0.09566440721319862,0.05282522996057819
foursquare,test,1332,201,pure,exposure_plus,15223,3806,0.08749917887407213,0.05281135049921177
movielens1m,valid,11907,363,pure,exposure_plus,89000,2181,0.13378651685393259,0.16643741403026135
movielens1m,test,14997,494,pure,exposure_plus,79524,2181,0.18858457824053115,0.22650160476845485
retail_rocket,valid,4488,1341,pure,exposure_plus,105278,22964,0.042629989171526814,0.05839574986936074
retail_rocket,test,4477,1367,pure,exposure_plus,99387,22964,0.04504613279402739,0.05952795680195088
KuaiRecLargeStrictPosV2_0.2,valid,327,94,pure,exposure_minus,33853,3669,0.009659409801199302,0.025620059961842464
KuaiRecLargeStrictPosV2_0.2,test,232,80,pure,exposure_minus,14614,3669,0.01587518817572191,0.021804306350504225
lastfm0.03,valid,2398,141,pure,exposure_minus,55816,3763,0.042962591371649705,0.037470103640712196
lastfm0.03,test,1819,128,pure,exposure_minus,49241,3764,0.036940760748157025,0.03400637619553666
beauty,valid,155,26,pure,exposure_minus,4252,636,0.03645343367826905,0.040880503144654086
beauty,test,238,34,pure,exposure_minus,3468,637,0.06862745098039216,0.05337519623233909
foursquare,valid,1103,201,pure,exposure_minus,15638,3805,0.07053331628085432,0.05282522996057819
foursquare,test,666,201,pure,exposure_minus,15223,3806,0.043749589437036066,0.05281135049921177
movielens1m,valid,16086,363,pure,exposure_minus,89000,2181,0.18074157303370786,0.16643741403026135
movielens1m,test,21061,494,pure,exposure_minus,79524,2181,0.2648382878124843,0.22650160476845485
retail_rocket,valid,8433,1341,pure,exposure_minus,105278,22964,0.08010220558901195,0.05839574986936074
retail_rocket,test,7806,1367,pure,exposure_minus,99387,22964,0.07854145914455612,0.05952795680195088
KuaiRecLargeStrictPosV2_0.2,valid,393,62,permissive,memory_plus,33853,3669,0.011609015449147785,0.016898337421640774
KuaiRecLargeStrictPosV2_0.2,test,874,113,permissive,memory_plus,14614,3669,0.05980566579991789,0.030798582720087217
lastfm0.03,valid,298,13,permissive,memory_plus,55816,3763,0.005338970904400172,0.0034546904065904864
lastfm0.03,test,304,13,permissive,memory_plus,49241,3764,0.0061737170244308606,0.0034537725823591925
beauty,valid,92,23,permissive,memory_plus,4252,636,0.021636876763875823,0.036163522012578615
beauty,test,66,24,permissive,memory_plus,3468,637,0.01903114186851211,0.03767660910518053
foursquare,valid,936,128,permissive,memory_plus,15638,3805,0.059854201304514645,0.03363994743758213
foursquare,test,967,128,permissive,memory_plus,15223,3806,0.06352230178020102,0.033631108775617445
movielens1m,valid,4897,128,permissive,memory_plus,89000,2181,0.05502247191011236,0.058688674919761576
movielens1m,test,4053,128,permissive,memory_plus,79524,2181,0.050965746189829485,0.058688674919761576
retail_rocket,valid,1549,128,permissive,memory_plus,105278,22964,0.014713425407017611,0.005573941821982233
retail_rocket,test,1638,128,permissive,memory_plus,99387,22964,0.01648102870596758,0.005573941821982233
KuaiRecLargeStrictPosV2_0.2,valid,2239,62,permissive,memory_minus,33853,3669,0.06613889463267657,0.016898337421640774
KuaiRecLargeStrictPosV2_0.2,test,1253,113,permissive,memory_minus,14614,3669,0.08573970165594635,0.030798582720087217
lastfm0.03,valid,427,13,permissive,memory_minus,55816,3763,0.007650136161674072,0.0034546904065904864
lastfm0.03,test,381,13,permissive,memory_minus,49241,3764,0.007737454560224203,0.0034537725823591925
beauty,valid,303,23,permissive,memory_minus,4252,636,0.07126058325493885,0.036163522012578615
beauty,test,203,24,permissive,memory_minus,3468,637,0.05853517877739331,0.03767660910518053
foursquare,valid,731,128,permissive,memory_minus,15638,3805,0.04674510807008569,0.03363994743758213
foursquare,test,711,128,permissive,memory_minus,15223,3806,0.046705642777376336,0.033631108775617445
movielens1m,valid,6392,128,permissive,memory_minus,89000,2181,0.07182022471910113,0.058688674919761576
movielens1m,test,6386,128,permissive,memory_minus,79524,2181,0.08030280166993611,0.058688674919761576
retail_rocket,valid,1114,128,permissive,memory_minus,105278,22964,0.010581508007370961,0.005573941821982233
retail_rocket,test,1059,128,permissive,memory_minus,99387,22964,0.010655317093784901,0.005573941821982233
KuaiRecLargeStrictPosV2_0.2,valid,664,62,permissive,focus_plus,33853,3669,0.019614214397542316,0.016898337421640774
KuaiRecLargeStrictPosV2_0.2,test,480,113,permissive,focus_plus,14614,3669,0.03284521691528671,0.030798582720087217
lastfm0.03,valid,163,13,permissive,focus_plus,55816,3763,0.0029203095886484163,0.0034546904065904864
lastfm0.03,test,251,13,permissive,focus_plus,49241,3764,0.005097378201092586,0.0034537725823591925
beauty,valid,193,23,permissive,focus_plus,4252,636,0.045390404515522106,0.036163522012578615
beauty,test,175,24,permissive,focus_plus,3468,637,0.05046136101499423,0.03767660910518053
foursquare,valid,930,128,permissive,focus_plus,15638,3805,0.0594705205269216,0.03363994743758213
foursquare,test,862,128,permissive,focus_plus,15223,3806,0.0566248439860737,0.033631108775617445
movielens1m,valid,5568,128,permissive,focus_plus,89000,2181,0.06256179775280898,0.058688674919761576
movielens1m,test,4307,128,permissive,focus_plus,79524,2181,0.05415975051556763,0.058688674919761576
retail_rocket,valid,615,128,permissive,focus_plus,105278,22964,0.005841676323638367,0.005573941821982233
retail_rocket,test,548,128,permissive,focus_plus,99387,22964,0.005513799591495869,0.005573941821982233
KuaiRecLargeStrictPosV2_0.2,valid,454,62,permissive,focus_minus,33853,3669,0.013410923699524414,0.016898337421640774
KuaiRecLargeStrictPosV2_0.2,test,545,113,permissive,focus_minus,14614,3669,0.037293006705898454,0.030798582720087217
lastfm0.03,valid,374,13,permissive,focus_minus,55816,3763,0.006700587645119679,0.0034546904065904864
lastfm0.03,test,376,13,permissive,focus_minus,49241,3764,0.007635913161796065,0.0034537725823591925
beauty,valid,151,23,permissive,focus_minus,4252,636,0.03551269990592662,0.036163522012578615
beauty,test,159,24,permissive,focus_minus,3468,637,0.045847750865051905,0.03767660910518053
foursquare,valid,1203,128,permissive,focus_minus,15638,3805,0.07692799590740504,0.03363994743758213
foursquare,test,1211,128,permissive,focus_minus,15223,3806,0.07955067989226827,0.033631108775617445
movielens1m,valid,4810,128,permissive,focus_minus,89000,2181,0.05404494382022472,0.058688674919761576
movielens1m,test,4374,128,permissive,focus_minus,79524,2181,0.055002263467632415,0.058688674919761576
retail_rocket,valid,955,128,permissive,focus_minus,105278,22964,0.009071220957844944,0.005573941821982233
retail_rocket,test,757,128,permissive,focus_minus,99387,22964,0.007616690311610171,0.005573941821982233
KuaiRecLargeStrictPosV2_0.2,valid,721,62,permissive,tempo_plus,33853,3669,0.02129796472986146,0.016898337421640774
KuaiRecLargeStrictPosV2_0.2,test,1046,113,permissive,tempo_plus,14614,3669,0.07157520186122895,0.030798582720087217
lastfm0.03,valid,439,13,permissive,tempo_plus,55816,3763,0.007865128278629783,0.0034546904065904864
lastfm0.03,test,468,13,permissive,tempo_plus,49241,3764,0.009504274892873825,0.0034537725823591925
beauty,valid,0,0,permissive,tempo_plus,4252,636,0.0,0.0
beauty,test,0,0,permissive,tempo_plus,3468,637,0.0,0.0
foursquare,valid,684,128,permissive,tempo_plus,15638,3805,0.04373960864560685,0.03363994743758213
foursquare,test,571,128,permissive,tempo_plus,15223,3806,0.037509032385206593,0.033631108775617445
movielens1m,valid,5279,128,permissive,tempo_plus,89000,2181,0.05931460674157303,0.058688674919761576
movielens1m,test,4990,128,permissive,tempo_plus,79524,2181,0.06274835269855641,0.058688674919761576
retail_rocket,valid,1951,128,permissive,tempo_plus,105278,22964,0.018531887003932445,0.005573941821982233
retail_rocket,test,1838,128,permissive,tempo_plus,99387,22964,0.018493364323301842,0.005573941821982233
KuaiRecLargeStrictPosV2_0.2,valid,380,62,permissive,tempo_minus,33853,3669,0.011225002215460963,0.016898337421640774
KuaiRecLargeStrictPosV2_0.2,test,611,113,permissive,tempo_minus,14614,3669,0.04180922403175038,0.030798582720087217
lastfm0.03,valid,293,13,permissive,tempo_minus,55816,3763,0.005249390855668626,0.0034546904065904864
lastfm0.03,test,247,13,permissive,tempo_minus,49241,3764,0.005016145082350074,0.0034537725823591925
beauty,valid,201,23,permissive,tempo_minus,4252,636,0.047271872060206964,0.036163522012578615
beauty,test,131,24,permissive,tempo_minus,3468,637,0.037773933102652826,0.03767660910518053
foursquare,valid,1244,128,permissive,tempo_minus,15638,3805,0.07954981455429083,0.03363994743758213
foursquare,test,1085,128,permissive,tempo_minus,15223,3806,0.07127373053931552,0.033631108775617445
movielens1m,valid,5432,128,permissive,tempo_minus,89000,2181,0.06103370786516854,0.058688674919761576
movielens1m,test,5035,128,permissive,tempo_minus,79524,2181,0.06331421960665963,0.058688674919761576
retail_rocket,valid,2505,128,permissive,tempo_minus,105278,22964,0.023794145025551397,0.005573941821982233
retail_rocket,test,2331,128,permissive,tempo_minus,99387,22964,0.02345377162003079,0.005573941821982233
KuaiRecLargeStrictPosV2_0.2,valid,1462,62,permissive,exposure_plus,33853,3669,0.04318671905001034,0.016898337421640774
KuaiRecLargeStrictPosV2_0.2,test,858,113,permissive,exposure_plus,14614,3669,0.058710825236074994,0.030798582720087217
lastfm0.03,valid,449,13,permissive,exposure_plus,55816,3763,0.008044288376092877,0.0034546904065904864
lastfm0.03,test,285,13,permissive,exposure_plus,49241,3764,0.005787859710403932,0.0034537725823591925
beauty,valid,117,23,permissive,exposure_plus,4252,636,0.02751646284101599,0.036163522012578615
beauty,test,138,24,permissive,exposure_plus,3468,637,0.039792387543252594,0.03767660910518053
foursquare,valid,1338,128,permissive,exposure_plus,15638,3805,0.0855608134032485,0.03363994743758213
foursquare,test,1710,128,permissive,exposure_plus,15223,3806,0.11233002693293044,0.033631108775617445
movielens1m,valid,2931,128,permissive,exposure_plus,89000,2181,0.032932584269662925,0.058688674919761576
movielens1m,test,3616,128,permissive,exposure_plus,79524,2181,0.04547054977113827,0.058688674919761576
retail_rocket,valid,1847,128,permissive,exposure_plus,105278,22964,0.017544026292292788,0.005573941821982233
retail_rocket,test,1589,128,permissive,exposure_plus,99387,22964,0.01598800647972069,0.005573941821982233
KuaiRecLargeStrictPosV2_0.2,valid,292,62,permissive,exposure_minus,33853,3669,0.00862552801819632,0.016898337421640774
KuaiRecLargeStrictPosV2_0.2,test,686,113,permissive,exposure_minus,14614,3669,0.04694128917476392,0.030798582720087217
lastfm0.03,valid,390,13,permissive,exposure_minus,55816,3763,0.006987243801060628,0.0034546904065904864
lastfm0.03,test,280,13,permissive,exposure_minus,49241,3764,0.0056863183119757925,0.0034537725823591925
beauty,valid,124,23,permissive,exposure_minus,4252,636,0.02916274694261524,0.036163522012578615
beauty,test,132,24,permissive,exposure_minus,3468,637,0.03806228373702422,0.03767660910518053
foursquare,valid,1029,128,permissive,exposure_minus,15638,3805,0.06580125335720681,0.03363994743758213
foursquare,test,798,128,permissive,exposure_minus,15223,3806,0.052420679235367536,0.033631108775617445
movielens1m,valid,4785,128,permissive,exposure_minus,89000,2181,0.05376404494382023,0.058688674919761576
movielens1m,test,5314,128,permissive,exposure_minus,79524,2181,0.06682259443689956,0.058688674919761576
retail_rocket,valid,2222,128,permissive,exposure_minus,105278,22964,0.021106024050608865,0.005573941821982233
retail_rocket,test,2056,128,permissive,exposure_minus,99387,22964,0.020686810146196184,0.005573941821982233
