paper_section,panel,dataset,variant_or_model,metric,cutoff,value,split,selection_rule,run_id,source_path,notes,status
Q2,Q2_quality,Foursquare,hidden_only,NDCG,20,0.138,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Foursquare,hidden_only,HR,10,0.251,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Foursquare,mixed_hidden_behavior,NDCG,20,0.142,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Foursquare,mixed_hidden_behavior,HR,10,0.257,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Foursquare,behavior_guided,NDCG,20,0.149,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Foursquare,behavior_guided,HR,10,0.269,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,KuaiRec,shared_ffn,NDCG,20,0.108,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,KuaiRec,shared_ffn,HR,10,0.165,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,KuaiRec,hidden_only,NDCG,20,0.112,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,KuaiRec,hidden_only,HR,10,0.172,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,KuaiRec,mixed_hidden_behavior,NDCG,20,0.115,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,KuaiRec,mixed_hidden_behavior,HR,10,0.175,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,KuaiRec,behavior_guided,NDCG,20,0.12,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,KuaiRec,behavior_guided,HR,10,0.181,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Retail Rocket,shared_ffn,NDCG,20,0.284,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Retail Rocket,shared_ffn,HR,10,0.52,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Retail Rocket,hidden_only,NDCG,20,0.298,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Retail Rocket,hidden_only,HR,10,0.537,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Retail Rocket,mixed_hidden_behavior,NDCG,20,0.304,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Retail Rocket,mixed_hidden_behavior,HR,10,0.545,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Retail Rocket,behavior_guided,NDCG,20,0.319,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Retail Rocket,behavior_guided,HR,10,0.562,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
